,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,14.414154672622681,0.3518029886076207,1.9904051303863526,0.03532485118513581,10,0.001,"{'C': 10, 'gamma': 0.001}",0.8405904059040591,0.8489544895448955,0.843257874015748,0.8462106299212598,0.8479330708661418,0.8453892333431748,0.003080013523834592,63,0.8468967214123146,0.8566156117364827,0.8553327592569812,0.854656169270513,0.8566859392299175,0.8540374401812418,0.0036527265846182026
1,12.683974170684815,0.3276582892718719,1.5884982109069825,0.05032229335891834,10,0.01,"{'C': 10, 'gamma': 0.01}",0.8715867158671586,0.8730627306273063,0.8796751968503937,0.8779527559055118,0.8836122047244095,0.8771774431650428,0.004391708005064684,56,0.9175739681368026,0.9226794611551947,0.9185016607208759,0.9169639562061754,0.9195472997908722,0.9190532692019842,0.0020125191505483506
2,36.36457061767578,0.38789403314871695,1.844207191467285,0.017157764157891296,10,0.05,"{'C': 10, 'gamma': 0.05}",0.9104551045510455,0.9116851168511685,0.9138779527559056,0.9212598425196851,0.9126476377952756,0.9139848440114162,0.0038071036065622566,48,0.9821000184535892,0.9806852432798179,0.9808709558371264,0.9816090540041825,0.9815475458235945,0.9813625634796621,0.0005175435464057967
3,54.169593048095706,0.5268553725225837,2.6014976501464844,0.012144146957567993,10,0.1,"{'C': 10, 'gamma': 0.1}",0.9121771217712177,0.9146371463714638,0.922736220472441,0.9269192913385826,0.9195374015748031,0.9192008660564905,0.005335725819058843,5,0.9947714830534539,0.9939718275204528,0.9943412473859023,0.9941567228441383,0.9944027555664904,0.9943288072740876,0.00026781805297812126
4,87.98287000656128,1.2750399505486867,4.504721403121948,0.010474013624897393,10,0.5,"{'C': 10, 'gamma': 0.5}",0.9131611316113161,0.9202952029520295,0.921013779527559,0.921998031496063,0.9165846456692913,0.918610372994784,0.003283039712009702,8,0.999938488035923,1.0,1.0,1.0,1.0,0.9999876976071846,2.4604785630799596e-05
5,187.35366430282593,15.423035250933584,6.957687854766846,0.05798844202043917,10,10,"{'C': 10, 'gamma': 10}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,194.25126628875734,16.67851878873118,7.366840410232544,0.028881680315204102,10,30,"{'C': 10, 'gamma': 30}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,194.64262194633483,16.695785571148807,7.31346173286438,0.09035196333877966,10,50,"{'C': 10, 'gamma': 50}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,195.08418583869934,16.537604755947665,7.385057020187378,0.021601754578334714,10,100,"{'C': 10, 'gamma': 100}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,14.125733852386475,0.3387737226072096,1.9410653114318848,0.03288027242616324,15,0.001,"{'C': 15, 'gamma': 0.001}",0.8428044280442805,0.8509225092250923,0.844488188976378,0.8489173228346457,0.8499015748031497,0.8474067513040056,0.003180225966636496,62,0.8510180230054746,0.8590145783354862,0.8589617419116743,0.8574240373969738,0.8592077746340263,0.8571252310567271,0.003119829111400137
10,12.725126600265503,0.2654312115820174,1.4707744121551514,0.030928492732582257,15,0.01,"{'C': 15, 'gamma': 0.01}",0.8698646986469865,0.8774907749077491,0.8818897637795275,0.8791830708661418,0.8843503937007874,0.8785552603090248,0.004934825227556906,55,0.9261241311435074,0.9304914805929754,0.9249600196826178,0.9243449378767377,0.9264977241973182,0.9264836586986313,0.0021488460551212347
11,36.78160071372986,0.4634083627683349,1.7886916160583497,0.006558635139721128,15,0.05,"{'C': 15, 'gamma': 0.05}",0.9107011070110701,0.9104551045510455,0.9175688976377953,0.9224901574803149,0.9143700787401575,0.915116622379687,0.004520323311833362,44,0.9862828320108261,0.985913760226364,0.9858531184647558,0.9859146266453438,0.9859761348259318,0.9859880944346443,0.00015241710802058907
12,54.46337947845459,0.6611281853262222,2.5682427883148193,0.018533985219122154,15,0.1,"{'C': 15, 'gamma': 0.1}",0.9126691266912669,0.9173431734317343,0.921505905511811,0.9261811023622047,0.9200295275590551,0.9195453203424859,0.004477642345071673,1,0.9963707941194563,0.9958786984068402,0.9964325255258949,0.9960019682617788,0.9964940337064829,0.9962356040040905,0.00024730856416839615
13,87.34917950630188,0.6883466752652244,4.541740560531617,0.042511343924965424,15,0.5,"{'C': 15, 'gamma': 0.5}",0.9129151291512915,0.9200492004920049,0.921013779527559,0.921505905511811,0.9165846456692913,0.9184135419742151,0.003242827590045485,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,187.22495465278627,14.827309131439108,6.979764938354492,0.08671733363510702,15,10,"{'C': 15, 'gamma': 10}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,194.73453874588012,16.898528392621326,7.266515636444092,0.05623830569076326,15,30,"{'C': 15, 'gamma': 30}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,194.68229627609253,16.66270714726319,7.338826847076416,0.08743043913180773,15,50,"{'C': 15, 'gamma': 50}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,194.8161774635315,17.07410397961751,7.3874061584472654,0.025155182192820154,15,100,"{'C': 15, 'gamma': 100}",0.9119311193111931,0.9175891758917589,0.921998031496063,0.921013779527559,0.9151082677165354,0.9175278023816553,0.0037233492157181455,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,14.021220207214355,0.20752400890382877,1.9269245147705079,0.031804824775624296,20,0.001,"{'C': 20, 'gamma': 0.001}",0.8432964329643297,0.8501845018450185,0.843996062992126,0.8499015748031497,0.8506397637795275,0.8476035823245743,0.0032473699638973143,61,0.8542166451374792,0.8619056406471058,0.8603764300651987,0.8592692828146143,0.8621601673022512,0.8595856331933298,0.0028831278314397947
19,12.874437808990479,0.26260569793229166,1.4369145393371583,0.013269221472356528,20,0.01,"{'C': 20, 'gamma': 0.01}",0.8718327183271832,0.8816728167281673,0.8838582677165354,0.8816437007874016,0.8873031496062992,0.8812616868418462,0.005147247686472913,54,0.9309220643415145,0.9346742941502122,0.9291425759626031,0.9294501168655431,0.9314183786443597,0.9311214859928466,0.001972811177588347
