,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,10.303526210784913,0.07287887341162337,0.16571807861328125,0.05384363895414694,15,5,30,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 50}",0.4874551971326165,0.4810126582278481,0.474251497005988,0.5047846889952153,0.48739495798319327,0.48697984665543653,0.010148678072733987,18
1,35.035127305984496,5.353302165375183,0.33724045753479004,0.08273176119463167,15,5,30,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 140}",0.48251748251748255,0.4657210401891253,0.4756242568370987,0.49878345498783455,0.5000000000000001,0.4845290489174894,0.013263006870830478,22
2,35.56498208045959,13.492247577199201,0.4212498188018799,0.21821171875723622,15,5,30,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 80}",0.49710982658959546,0.4899882214369846,0.47072879330943845,0.5115712545676004,0.5018007202881152,0.4942400456970961,0.013686044833019256,3
3,14.046619987487793,2.582022778201714,0.2694206714630127,0.1497246634000203,15,5,150,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 50}",0.4350940017905103,0.4314442413162706,0.41990950226244345,0.4513692162417375,0.4524469067405355,0.4380524824812551,0.01237782651994903,36
4,67.68692755699158,0.695517477664988,0.7897616386413574,0.17574657454847817,15,5,150,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 140}",0.44385026737967914,0.4365942028985507,0.4327931363203051,0.4670542635658915,0.46325581395348836,0.44870905859610105,0.013941052838693829,29
5,29.68123416900635,10.566862633304806,0.4937572002410889,0.24585712835633652,15,5,150,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 80}",0.43271767810026385,0.43727598566308246,0.43339587242026273,0.4587677725118484,0.4589861751152074,0.44422756389935747,0.012061138656125063,32
6,8.360977363586425,0.11589247635061083,0.16591811180114746,0.03876438958424342,15,5,300,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 50}",0.4250214224507284,0.42429426860564584,0.40134907251264756,0.42582897033158806,0.4512085944494181,0.4255404145881023,0.015785179723141647,40
7,19.928370857238768,0.10011398802146056,0.25498166084289553,0.023986637872517293,15,5,300,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 140}",0.42139917695473245,0.4089775561097257,0.41563055062166965,0.43291592128801437,0.43957968476357273,0.42370035145399,0.011173172469141374,46
8,10.485855531692504,0.16485521393273397,0.1304928779602051,0.015144803617309872,15,5,300,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 80}",0.42723404255319153,0.4126984126984127,0.41711229946524064,0.4305799648506151,0.43674176776429807,0.42487352980028403,0.008802559585661384,42
9,49.48171515464783,0.5647963034062111,0.11442408561706544,0.036375163049777864,15,25,30,50,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 50}",0.5016722408026756,0.488135593220339,0.45901639344262296,0.5051903114186852,0.5112426035502958,0.49305227690856684,0.018627960613479846,4
10,144.62621188163757,0.8221063009469487,0.36267800331115724,0.06772445111846688,15,25,30,140,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 140}",0.4966139954853273,0.4914675767918089,0.4652777777777778,0.5052631578947369,0.5147579693034239,0.4946762861700358,0.01669457017927069,2
11,84.73959774971009,0.809457494994288,0.19313759803771974,0.0270893436468563,15,25,30,80,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 80}",0.5022421524663677,0.49130938586326767,0.45799769850402766,0.5053128689492326,0.4999999999999999,0.4913734909067326,0.0173245997218747,6
12,44.065013599395755,0.4938757144329869,0.15010719299316405,0.06026562129663183,15,25,150,50,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 150, 'n_estimators': 50}",0.42715231788079466,0.4172185430463575,0.3979416809605489,0.43738977072310414,0.42643171806167407,0.42122738929675807,0.013278839945967909,50
13,141.34651331901551,1.1095260294260858,0.3624579906463623,0.027583245899342194,15,25,150,140,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 150, 'n_estimators': 140}",0.4270042194092827,0.43087362171331633,0.39282664389410754,0.4406165004533092,0.43645924627519717,0.4255561888717333,0.017012602629285688,39
14,80.59871869087219,0.8167156867229822,0.2569112777709961,0.0558016881383645,15,25,150,80,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 150, 'n_estimators': 80}",0.4272497897392767,0.41911148365465223,0.3896103896103897,0.4350132625994695,0.4377224199288256,0.4217420112107086,0.01732664519716298,49
15,43.7474570274353,2.450453394151681,0.1294926166534424,0.01547164840278283,15,25,300,50,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 300, 'n_estimators': 50}",0.39326702371843913,0.3942161339421613,0.36321122369446607,0.4019448946515397,0.4,0.39052812477798865,0.014051915433148321,70
16,134.81733961105346,1.0735982068960919,0.4114865779876709,0.05684919498661442,15,25,300,140,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 300, 'n_estimators': 140}",0.40092521202775633,0.3917995444191344,0.3599374021909233,0.4100486223662885,0.40846216436126936,0.39423524753414657,0.01832678471694569,64
