,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,12.029752635955811,0.08096305138038588,3.146638298034668,0.10029219710263686,15,5,30,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 50}",0.6279761904761905,0.608955223880597,0.5701492537313433,0.5970149253731343,0.6149253731343284,0.6038065722185535,0.01956194015395432,81,0.8813432835820896,0.8672632363907532,0.8702460850111857,0.8739746457867263,0.8717375093214019,0.8729129520184313,0.004745752116847536
1,36.79551367759704,28.319870016497287,0.42830510139465333,0.28098672352884185,15,5,30,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 140}",0.6279761904761905,0.608955223880597,0.5880597014925373,0.6417910447761194,0.6119402985074627,0.6157456956154456,0.01819319524588804,75,0.8820895522388059,0.877703206562267,0.8791946308724832,0.8739746457867263,0.8791946308724832,0.878431333266553,0.002643484227671002
2,46.700810718536374,6.023882179317059,0.6118340015411377,0.12246386327386796,15,5,30,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 30, 'n_estimators': 80}",0.6339285714285714,0.6149253731343284,0.5791044776119403,0.6268656716417911,0.608955223880597,0.6127579472622966,0.018968295536413105,76,0.8768656716417911,0.883668903803132,0.877703206562267,0.877703206562267,0.8769574944071589,0.8785796965953232,0.0025692769815931845
3,19.677592420578,6.03199843161491,0.3972822666168213,0.20815245402607216,15,5,150,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 50}",0.7470238095238095,0.7283582089552239,0.6746268656716418,0.7164179104477612,0.7283582089552239,0.7189597629200435,0.02423310824475641,50,0.8156716417910448,0.8068605518269948,0.8135719612229679,0.8128262490678598,0.8150633855331841,0.8127987578884103,0.0031382444352484958
4,46.950937795639035,17.71642939416184,0.5786113739013672,0.25400363635875106,15,5,150,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 140}",0.7232142857142857,0.7313432835820896,0.6686567164179105,0.7044776119402985,0.7402985074626866,0.7135990274071458,0.02538863475891912,52,0.8156716417910448,0.8135719612229679,0.8210290827740492,0.8187919463087249,0.8232662192393736,0.818466170267232,0.0035065023101360057
5,31.48158655166626,10.3010472030424,0.3762678623199463,0.11530014614038082,15,5,150,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 150, 'n_estimators': 80}",0.7470238095238095,0.7253731343283583,0.6865671641791045,0.7223880597014926,0.7343283582089553,0.7231384561089557,0.020193169059074374,46,0.8164179104477612,0.8105891126025354,0.8217747949291574,0.8128262490678598,0.814317673378076,0.815185148085078,0.003804828712834399
6,8.38516206741333,0.11973726819090073,0.10707674026489258,0.019547607328911313,15,5,300,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 50}",0.7380952380952381,0.7343283582089553,0.6925373134328359,0.7283582089552239,0.7522388059701492,0.7291124690632907,0.019904164171479544,39,0.7888059701492537,0.8031319910514542,0.8053691275167785,0.8120805369127517,0.8008948545861297,0.8020564960432734,0.007609697227720582
7,22.233809089660646,0.8952533749255172,0.28039917945861814,0.010653931441118836,15,5,300,140,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 140}",0.7440476190476191,0.7373134328358208,0.7223880597014926,0.7373134328358208,0.7522388059701492,0.7386608002768784,0.009816107172411876,15,0.8044776119402985,0.7949291573452647,0.8090976882923192,0.8038777032065623,0.8038777032065623,0.8032519727982013,0.004598410923272221
8,12.269925260543824,0.9858502967509741,0.12808995246887206,0.015568598324160663,15,5,300,80,"{'max_depth': 15, 'max_features': 5, 'min_samples_leaf': 300, 'n_estimators': 80}",0.7351190476190477,0.7373134328358208,0.6925373134328359,0.7343283582089553,0.7761194029850746,0.7350835145136998,0.026454954195701905,27,0.7955223880597015,0.7986577181208053,0.8098434004474273,0.7956748695003728,0.8090976882923192,0.8017592128841253,0.0063991217826226115
9,48.79347724914551,0.7853869085696081,0.18052878379821777,0.0736256615977998,15,25,30,50,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 50}",0.6636904761904762,0.6358208955223881,0.5940298507462687,0.6298507462686567,0.6298507462686567,0.630651794838005,0.022185667310649103,63,0.8828358208955224,0.8806860551826995,0.8784489187173751,0.8851603281133482,0.8806860551826995,0.8815634356183288,0.0022714052169669125
10,151.59802689552308,1.4844074543572605,0.3622579574584961,0.040933688781617086,15,25,30,140,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 140}",0.6636904761904762,0.6328358208955224,0.608955223880597,0.6417910447761194,0.6447761194029851,0.6384122250459849,0.01783185203968555,55,0.8940298507462686,0.8888888888888888,0.8903803131991052,0.8844146159582401,0.8903803131991052,0.8896187963983216,0.0031059129144760836
11,88.63702998161315,1.6670507235025822,0.1813291072845459,0.014438171698833366,15,25,30,80,"{'max_depth': 15, 'max_features': 25, 'min_samples_leaf': 30, 'n_estimators': 80}",0.6577380952380952,0.6417910447761194,0.5880597014925373,0.6477611940298508,0.6268656716417911,0.6324456308514649,0.024342891597142462,60,0.891044776119403,0.8881431767337807,0.8732289336316182,0.8784489187173751,0.8844146159582401,0.8830560842320836,0.006470582348544316
